Price,Close,Volume
Ticker,NTPIF,NTPIF
Date,,
2021-03-22,11.789999961853027,283200
2021-03-23,12.239999771118164,170000
2021-03-24,11.9399995803833,197000
2021-03-25,11.770000457763672,99900
2021-03-26,12.079999923706055,122700
2021-03-29,11.789999961853027,80900
2021-03-30,11.710000038146973,76600
2021-03-31,12.329999923706055,135500
2021-04-01,12.130000114440918,80000
2021-04-05,12.039999961853027,57600
2021-04-06,12.3100004196167,99600
2021-04-07,12.210000038146973,34200
2021-04-08,12.180000305175781,51400
2021-04-09,11.630000114440918,50000
2021-04-12,11.899999618530273,208700
2021-04-13,13.899999618530273,946900
2021-04-14,13.180000305175781,690400
2021-04-15,11.920000076293945,285600
2021-04-16,12.149999618530273,256300
2021-04-19,12.970000267028809,260200
2021-04-20,12.4399995803833,105000
2021-04-21,12.180000305175781,335200
2021-04-22,11.829999923706055,103800
2021-04-23,11.949999809265137,103000
2021-04-26,10.75,402400
2021-04-27,11.600000381469727,234800
2021-04-28,11.680000305175781,111200
2021-04-29,12.970000267028809,595400
2021-04-30,12.9399995803833,450100
2021-05-03,14.470000267028809,787100
2021-05-04,15.600000381469727,662200
2021-05-05,16.06999969482422,360100
2021-05-06,16.59000015258789,396200
2021-05-07,19.030000686645508,1274400
2021-05-10,18.809999465942383,1126200
2021-05-11,19.84000015258789,1336300
2021-05-12,18.829999923706055,1184400
2021-05-13,20.56999969482422,1156000
2021-05-14,20.719999313354492,934000
2021-05-17,21.799999237060547,370600
2021-05-18,20.860000610351562,350300
2021-05-19,20.079999923706055,162300
2021-05-20,23.84000015258789,1147700
2021-05-21,25.229999542236328,771000
2021-05-24,24.510000228881836,812700
2021-05-25,26.40999984741211,839800
2021-05-26,23.59000015258789,1080900
2021-05-27,26.1200008392334,1304000
2021-05-28,27.18000030517578,1438500
2021-06-01,29.649999618530273,450700
2021-06-02,27.350000381469727,555100
2021-06-03,26.270000457763672,232800
2021-06-04,27.270000457763672,249000
2021-06-07,31.989999771118164,785800
2021-06-08,35.029998779296875,571200
2021-06-09,33.91999816894531,783800
2021-06-10,35.310001373291016,434500
2021-06-11,36.900001525878906,372800
2021-06-14,33.45000076293945,325700
2021-06-15,30.8700008392334,378300
2021-06-16,29.829999923706055,319200
2021-06-17,30.920000076293945,321400
2021-06-18,26.799999237060547,437100
2021-06-21,28.149999618530273,310000
2021-06-22,25.770000457763672,407700
2021-06-23,25.780000686645508,188600
2021-06-24,26.760000228881836,318700
2021-06-25,25.739999771118164,144500
2021-06-28,26.229999542236328,459000
2021-06-29,22.270000457763672,959000
2021-06-30,27.709999084472656,933000
2021-07-01,23.479999542236328,217000
2021-07-02,22.190000534057617,204000
2021-07-06,21.8799991607666,258600
2021-07-07,20.200000762939453,371100
2021-07-08,19.520000457763672,142200
2021-07-09,20.489999771118164,189000
2021-07-12,21.5,195400
2021-07-13,21.440000534057617,232900
2021-07-14,22.260000228881836,210200
2021-07-15,23.079999923706055,203500
2021-07-16,22.68000030517578,269900
2021-07-19,22.860000610351562,393400
2021-07-20,25.440000534057617,285700
2021-07-21,24.420000076293945,504800
2021-07-22,25.420000076293945,237800
2021-07-23,24.6200008392334,153100
2021-07-26,23.559999465942383,215200
2021-07-27,22.780000686645508,183200
2021-07-28,22.829999923706055,186100
2021-07-29,21.239999771118164,315400
2021-07-30,20.530000686645508,145300
2021-08-02,21.030000686645508,129300
2021-08-03,21.5,120500
2021-08-04,21.649999618530273,95900
2021-08-05,23.0,66700
2021-08-06,21.670000076293945,105300
2021-08-09,23.809999465942383,156600
2021-08-10,24.760000228881836,115300
2021-08-11,24.600000381469727,165300
2021-08-12,24.0,30000
2021-08-13,24.049999237060547,31700
2021-08-16,23.549999237060547,76900
2021-08-17,22.959999084472656,63700
2021-08-18,23.170000076293945,40100
2021-08-19,22.170000076293945,46000
2021-08-20,23.110000610351562,23300
2021-08-23,23.229999542236328,38600
2021-08-24,24.399999618530273,52400
2021-08-25,25.229999542236328,67900
2021-08-26,25.8700008392334,42900
2021-08-27,26.399999618530273,46600
2021-08-30,26.149999618530273,30900
2021-08-31,25.950000762939453,33100
2021-09-01,26.229999542236328,40200
2021-09-02,25.31999969482422,53900
2021-09-03,24.600000381469727,36200
2021-09-07,26.170000076293945,54500
2021-09-08,26.3700008392334,32100
2021-09-09,26.459999084472656,79300
2021-09-10,28.959999084472656,130100
2021-09-13,25.889999389648438,79900
2021-09-14,27.40999984741211,53700
2021-09-15,26.979999542236328,43500
2021-09-16,26.799999237060547,70400
2021-09-17,28.079999923706055,315300
2021-09-20,21.459999084472656,214100
2021-09-21,20.940000534057617,94800
2021-09-22,21.139999389648438,52200
2021-09-23,21.649999618530273,46200
2021-09-24,20.6200008392334,45400
2021-09-27,20.850000381469727,57200
2021-09-28,21.190000534057617,51000
2021-09-29,21.670000076293945,26600
2021-09-30,23.25,72200
2021-10-01,23.90999984741211,58100
2021-10-04,22.790000915527344,130000
2021-10-05,23.729999542236328,54500
2021-10-06,25.700000762939453,97100
2021-10-07,26.110000610351562,71500
2021-10-08,26.8799991607666,114800
2021-10-11,24.34000015258789,48800
2021-10-12,24.709999084472656,33700
2021-10-13,25.520000457763672,16800
2021-10-14,26.690000534057617,46600
2021-10-15,27.25,33400
2021-10-18,26.3700008392334,49700
2021-10-19,26.299999237060547,49300
2021-10-20,26.309999465942383,75900
2021-10-21,26.649999618530273,92000
2021-10-22,25.989999771118164,97600
2021-10-25,24.920000076293945,64500
2021-10-26,25.040000915527344,31600
2021-10-27,24.860000610351562,56200
2021-10-28,25.489999771118164,35000
2021-10-29,24.65999984741211,36400
2021-11-01,24.770000457763672,17800
2021-11-02,25.010000228881836,141600
2021-11-03,23.940000534057617,72400
2021-11-04,23.559999465942383,31900
2021-11-05,23.389999389648438,35900
2021-11-08,20.219999313354492,121300
2021-11-09,20.56999969482422,90000
2021-11-10,20.760000228881836,166700
2021-11-11,22.09000015258789,120900
2021-11-12,23.90999984741211,74400
2021-11-15,23.489999771118164,942300
2021-11-16,25.6299991607666,77300
2021-11-17,25.709999084472656,85700
2021-11-18,26.209999084472656,48000
2021-11-19,25.6200008392334,40700
2021-11-22,24.860000610351562,36200
2021-11-23,24.479999542236328,47900
2021-11-24,20.850000381469727,213700
2021-11-26,19.06999969482422,168900
2021-11-29,19.049999237060547,126900
2021-11-30,17.90999984741211,467100
2021-12-01,16.979999542236328,262600
2021-12-02,16.139999389648438,120700
2021-12-03,14.25,365600
2021-12-06,10.0,1984900
2021-12-07,12.039999961853027,1489700
2021-12-08,11.029999732971191,1720500
2021-12-09,10.350000381469727,1349700
2021-12-10,12.6899995803833,616000
2021-12-13,13.579999923706055,545900
2021-12-14,11.859999656677246,555100
2021-12-15,11.720000267028809,341300
2021-12-16,10.460000038146973,1268200
2021-12-17,10.359999656677246,1704900
2021-12-20,10.829999923706055,347000
2021-12-21,10.989999771118164,178100
2021-12-22,10.869999885559082,171400
2021-12-23,11.3100004196167,154500
2021-12-27,11.239999771118164,119400
2021-12-28,10.760000228881836,281800
2021-12-29,10.489999771118164,414100
2021-12-30,10.539999961853027,558900
2021-12-31,10.09000015258789,2030600
2022-01-03,11.6899995803833,991600
2022-01-04,10.890000343322754,488900
2022-01-05,10.680000305175781,423800
2022-01-06,11.079999923706055,519200
